loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
stplib: Exception occurred during handler processing. Backtrace from offending handler [port_status_handler] servicing event [EventOFPPortStatus] follows.
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/ryu/base/app_manager.py", line 290, in _event_loop
    handler(ev)
  File "/usr/local/lib/python3.6/dist-packages/ryu/lib/stplib.py", line 301, in port_status_handler
    if bridge.ports_state[port.port_no] == port.state:
KeyError: 4294967294
packet in 1152921504606846980 e2:e6:ef:c7:0d:0b 33:33:00:00:00:02 2
packet in 1152921504606846980 a6:bb:04:49:bc:c5 33:33:00:00:00:02 2
packet in 1152921504606846982 e2:e6:ef:c7:0d:0b 33:33:00:00:00:02 2
packet in 1152921504606846982 a6:bb:04:49:bc:c5 33:33:00:00:00:02 2
packet in 1152921504606846977 92:58:1b:44:7e:32 33:33:00:00:00:fb 2
packet in 1152921504606846979 6e:45:9d:a2:3b:5c 33:33:00:00:00:fb 2
packet in 1152921504606846980 6e:45:9d:a2:3b:5c 33:33:00:00:00:fb 2
packet in 1152921504606846981 6e:45:9d:a2:3b:5c 33:33:00:00:00:fb 2
packet in 1152921504606846982 6e:45:9d:a2:3b:5c 33:33:00:00:00:fb 2
packet in 1152921504606846982 da:7e:68:6d:14:2c 33:33:00:00:00:fb 2
packet in 1152921504606846978 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 5
packet in 1152921504606846984 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 2
packet in 1152921504606846979 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 2
packet in 1152921504606846977 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 2
packet in 1152921504606846983 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 3
packet in 1152921504606846986 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 2
packet in 1152921504606846980 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 2
packet in 1152921504606846981 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 2
packet in 1152921504606846982 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 2
packet in 1152921504606846979 a6:7d:bf:d9:b4:97 33:33:00:00:00:fb 3
packet in 1152921504606846978 a6:7d:bf:d9:b4:97 33:33:00:00:00:fb 3
packet in 1152921504606846981 a6:7d:bf:d9:b4:97 33:33:00:00:00:fb 2
packet in 1152921504606846985 a6:7d:bf:d9:b4:97 33:33:00:00:00:fb 3
packet in 1152921504606846984 a6:7d:bf:d9:b4:97 33:33:00:00:00:fb 2
packet in 1152921504606846977 a6:7d:bf:d9:b4:97 33:33:00:00:00:fb 2
packet in 1152921504606846986 a6:7d:bf:d9:b4:97 33:33:00:00:00:fb 2
packet in 1152921504606846983 a6:7d:bf:d9:b4:97 33:33:00:00:00:fb 3
packet in 1152921504606846980 a2:5f:63:48:bd:b7 33:33:00:00:00:fb 4
packet in 1152921504606846978 c6:88:17:c0:c3:83 33:33:00:00:00:fb 2
packet in 1152921504606846979 a2:5f:63:48:bd:b7 33:33:00:00:00:fb 3
packet in 1152921504606846979 c6:88:17:c0:c3:83 33:33:00:00:00:fb 2
packet in 1152921504606846984 c6:88:17:c0:c3:83 33:33:00:00:00:fb 2
packet in 1152921504606846985 c6:88:17:c0:c3:83 33:33:00:00:00:fb 3
packet in 1152921504606846980 c6:88:17:c0:c3:83 33:33:00:00:00:fb 2
packet in 1152921504606846986 c6:88:17:c0:c3:83 33:33:00:00:00:fb 2
packet in 1152921504606846983 c6:88:17:c0:c3:83 33:33:00:00:00:fb 3
packet in 1152921504606846981 a2:5f:63:48:bd:b7 33:33:00:00:00:fb 2
packet in 1152921504606846981 c6:88:17:c0:c3:83 33:33:00:00:00:fb 2
packet in 1152921504606846978 a2:5f:63:48:bd:b7 33:33:00:00:00:fb 3
packet in 1152921504606846985 a2:5f:63:48:bd:b7 33:33:00:00:00:fb 3
packet in 1152921504606846984 a2:5f:63:48:bd:b7 33:33:00:00:00:fb 2
packet in 1152921504606846982 c6:88:17:c0:c3:83 33:33:00:00:00:fb 2
packet in 1152921504606846977 a2:5f:63:48:bd:b7 33:33:00:00:00:fb 2
packet in 1152921504606846986 a2:5f:63:48:bd:b7 33:33:00:00:00:fb 2
